,location,total_sqft,bath,price,BHK
2115,Electronic City Phase II,1160.0,2.0,33.5,2
2116,Electronic City Phase II,1065.0,2.0,30.75,2
2117,Electronic City Phase II,1219.0,2.0,61.25,2
2119,Electronic City Phase II,1000.0,2.0,28.88,2
2120,Electronic City Phase II,1790.0,3.0,100.0,3
2121,Electronic City Phase II,769.0,2.0,40.0,2
2123,Electronic City Phase II,900.0,2.0,32.5,2
2126,Electronic City Phase II,993.0,2.0,50.0,3
2127,Electronic City Phase II,1418.0,3.0,52.47,3
2128,Electronic City Phase II,1070.0,2.0,45.0,2
2131,Electronic City Phase II,1140.0,2.0,33.06,2
2132,Electronic City Phase II,1089.0,2.0,32.67,2
2133,Electronic City Phase II,1031.0,2.0,55.0,2
2134,Electronic City Phase II,1253.0,2.0,65.8,2
2136,Electronic City Phase II,1160.0,2.0,33.5,2
2137,Electronic City Phase II,975.0,2.0,45.0,3
2138,Electronic City Phase II,6000.0,4.0,260.0,4
2139,Electronic City Phase II,1116.0,2.0,37.0,2
2140,Electronic City Phase II,1125.0,2.0,29.25,2
2141,Electronic City Phase II,1000.0,2.0,28.88,2
2142,Electronic City Phase II,1000.0,2.0,28.88,2
2143,Electronic City Phase II,1000.0,2.0,28.88,2
2144,Electronic City Phase II,1165.0,2.0,30.29,2
2145,Electronic City Phase II,3550.0,2.0,167.5,4
2146,Electronic City Phase II,1031.0,2.0,53.0,2
2148,Electronic City Phase II,1065.0,2.0,30.88,2
2150,Electronic City Phase II,1549.0,3.0,80.0,3
2151,Electronic City Phase II,1065.0,2.0,56.13,2
2153,Electronic City Phase II,920.0,2.0,26.0,2
2154,Electronic City Phase II,1140.0,2.0,33.84,2
2155,Electronic City Phase II,1219.0,2.0,61.26,2
2156,Electronic City Phase II,1252.0,2.0,65.0,3
2157,Electronic City Phase II,875.0,2.0,40.0,3
2158,Electronic City Phase II,1125.0,2.0,32.49,2
2160,Electronic City Phase II,1286.0,2.0,69.0,2
2162,Electronic City Phase II,1140.0,2.0,32.92,2
2163,Electronic City Phase II,1116.0,2.0,40.0,2
2164,Electronic City Phase II,1150.0,3.0,46.0,3
2165,Electronic City Phase II,1192.0,2.0,47.0,3
2167,Electronic City Phase II,1020.0,2.0,32.0,2
2168,Electronic City Phase II,1900.0,3.0,97.0,4
2169,Electronic City Phase II,1020.0,2.0,27.43,2
2170,Electronic City Phase II,1025.0,2.0,26.65,2
2171,Electronic City Phase II,545.0,1.0,29.0,2
2172,Electronic City Phase II,1020.0,2.0,29.45,2
2173,Electronic City Phase II,1000.0,2.0,28.88,2
2175,Electronic City Phase II,1140.0,2.0,28.5,2
2176,Electronic City Phase II,1125.0,2.0,32.49,2
2177,Electronic City Phase II,1200.0,2.0,34.65,2
2178,Electronic City Phase II,1160.0,2.0,52.2,2
2179,Electronic City Phase II,1244.0,2.0,55.0,2
2180,Electronic City Phase II,1160.0,2.0,33.51,2
2183,Electronic City Phase II,972.0,2.0,40.0,2
2184,Electronic City Phase II,1160.0,2.0,33.51,2
2186,Electronic City Phase II,1090.0,2.0,31.48,2
2187,Electronic City Phase II,1140.0,2.0,32.92,2
2188,Electronic City Phase II,650.0,1.0,35.0,1
2189,Electronic City Phase II,1155.0,2.0,57.0,2
2190,Electronic City Phase II,1800.0,3.0,92.0,3
2191,Electronic City Phase II,1300.0,2.0,28.0,2
2192,Electronic City Phase II,1940.0,4.0,116.0,3
2193,Electronic City Phase II,1160.0,2.0,33.5,2
2194,Electronic City Phase II,1025.0,2.0,29.6,2
2195,Electronic City Phase II,829.0,2.0,22.8,2
2196,Electronic City Phase II,2187.5,4.0,105.0,4
2197,Electronic City Phase II,1252.0,2.0,67.0,2
2199,Electronic City Phase II,1125.0,2.0,32.63,2
2200,Electronic City Phase II,1140.0,2.0,34.0,2
2203,Electronic City Phase II,1252.0,2.0,65.0,3
2204,Electronic City Phase II,1135.0,2.0,46.0,2
2205,Electronic City Phase II,1305.0,3.0,65.0,3
2206,Electronic City Phase II,1165.0,2.0,33.64,2
2208,Electronic City Phase II,1336.0,2.0,50.35,3
2209,Electronic City Phase II,575.0,1.0,16.75,1
2210,Electronic City Phase II,925.0,2.0,49.82,3
2211,Electronic City Phase II,1065.0,2.0,30.76,2
2212,Electronic City Phase II,1065.0,2.0,30.75,2
2213,Electronic City Phase II,1140.0,2.0,33.06,2
2214,Electronic City Phase II,911.0,2.0,26.5,2
2215,Electronic City Phase II,1200.0,2.0,34.65,2
2216,Electronic City Phase II,1031.0,2.0,54.48,2
2217,Electronic City Phase II,545.0,1.0,28.0,2
2221,Electronics City Phase 1,1475.0,3.0,78.29,3
2222,Electronics City Phase 1,1490.0,3.0,78.8,3
2223,Electronics City Phase 1,1113.27,2.0,53.0,2
2224,Electronics City Phase 1,1490.0,3.0,84.0,3
2231,Electronics City Phase 1,1015.0,2.0,56.0,2
2233,Electronics City Phase 1,1515.0,2.0,80.91,3
2234,Electronics City Phase 1,995.0,2.0,46.0,2
2235,Electronics City Phase 1,1555.0,2.0,82.0,3
2236,Electronics City Phase 1,1340.0,2.0,75.0,2
2237,Electronics City Phase 1,1124.0,2.0,55.0,3
2238,Electronics City Phase 1,1175.0,2.0,57.0,2
2239,Electronics City Phase 1,755.0,1.0,42.41,1
2240,Electronics City Phase 1,580.0,1.0,27.0,1
2241,Electronics City Phase 1,940.0,2.0,49.0,2
2242,Electronics City Phase 1,1335.0,2.0,67.0,2
2243,Electronics City Phase 1,1113.12,2.0,55.0,2
2245,Electronics City Phase 1,1350.0,3.0,71.0,3
2247,Electronics City Phase 1,995.0,2.0,49.8,2
2248,Electronics City Phase 1,635.0,1.0,26.0,1
2249,Electronics City Phase 1,1190.0,2.0,68.0,2
2251,Electronics City Phase 1,1450.0,3.0,72.54,3
2252,Electronics City Phase 1,360.0,1.0,16.9,1
2253,Electronics City Phase 1,638.0,1.0,32.0,1
2254,Electronics City Phase 1,1175.0,2.0,64.98,2
2255,Electronics City Phase 1,585.0,1.0,21.0,1
2256,Electronics City Phase 1,1200.0,2.0,59.76,2
2257,Electronics City Phase 1,1145.0,2.0,54.0,2
2258,Electronics City Phase 1,1125.0,2.0,65.0,2
2260,Electronics City Phase 1,1550.0,2.0,82.0,3
2262,Electronics City Phase 1,865.0,2.0,40.0,2
2266,Electronics City Phase 1,1800.0,3.0,93.0,3
2267,Electronics City Phase 1,1314.0,2.0,60.0,2
2268,Electronics City Phase 1,1170.0,2.0,62.0,2
2269,Electronics City Phase 1,1450.0,3.0,79.0,3
2270,Electronics City Phase 1,940.0,2.0,48.0,2
2271,Electronics City Phase 1,940.0,2.0,44.0,2
2272,Electronics City Phase 1,1300.0,2.0,67.0,2
2273,Electronics City Phase 1,1028.0,2.0,51.0,2
2275,Electronics City Phase 1,1205.0,2.0,60.0,2
2277,Electronics City Phase 1,1305.0,2.0,67.0,2
2278,Electronics City Phase 1,755.0,1.0,30.12,1
2279,Electronics City Phase 1,1175.0,2.0,60.0,2
2280,Frazer Town,1700.0,3.0,180.0,3
2281,Frazer Town,1305.0,3.0,95.45,3
2282,Frazer Town,1870.0,3.0,185.0,3
2283,Frazer Town,1750.0,3.0,150.0,3
2285,Frazer Town,2000.0,3.0,200.0,3
2286,Frazer Town,3500.0,4.0,330.0,3
2287,Frazer Town,2350.0,4.0,285.0,3
2288,Frazer Town,1550.0,2.0,140.0,2
2289,Frazer Town,1900.0,4.0,145.0,3
2290,Frazer Town,2560.0,3.0,265.0,3
2291,Frazer Town,2400.0,3.0,260.0,3
2292,Frazer Town,2560.0,3.0,288.0,3
2293,Frazer Town,3436.0,5.0,341.0,4
2295,Frazer Town,1315.0,2.0,140.0,2
2296,Frazer Town,1706.0,3.0,154.0,3
2297,Frazer Town,2079.0,3.0,220.0,3
2298,Frazer Town,3435.0,2.0,341.0,4
2299,Frazer Town,3436.0,5.0,345.0,4
2300,Frazer Town,3100.0,3.0,400.0,3
2301,Frazer Town,5400.0,3.0,400.0,3
2302,Frazer Town,1180.0,2.0,105.0,2
2303,Frazer Town,2900.0,4.0,325.0,4
2304,Frazer Town,1870.0,3.0,180.0,3
2305,Frazer Town,896.0,1.0,100.0,1
2306,Frazer Town,1420.0,2.0,120.0,2
2307,Garudachar Palya,1325.0,2.0,60.8,3
2308,Garudachar Palya,1060.0,2.0,48.7,2
2309,Garudachar Palya,1150.0,2.0,52.75,2
2310,Garudachar Palya,1295.0,2.0,59.5,3
2311,Garudachar Palya,1320.0,2.0,60.6,3
2312,Garudachar Palya,1295.0,2.0,59.5,3
2313,Garudachar Palya,1150.0,2.0,52.8,2
2314,Garudachar Palya,1150.0,2.0,52.8,2
2315,Garudachar Palya,1060.0,2.0,48.5,2
2316,Garudachar Palya,1150.0,2.0,52.5,2
2317,Garudachar Palya,1325.0,2.0,60.8,3
2318,Garudachar Palya,1060.0,2.0,48.66,2
2319,Garudachar Palya,1150.0,2.0,52.0,2
2320,Garudachar Palya,1154.0,2.0,51.8,2
2322,Gottigere,1100.0,2.0,40.0,2
2323,Gottigere,967.0,2.0,45.0,2
2324,Gottigere,1618.0,3.0,82.5,3
2325,Gottigere,1222.0,2.0,63.0,2
2327,Gottigere,1300.0,3.0,65.0,3
2328,Gottigere,950.0,2.0,38.0,2
2329,Gottigere,1153.0,2.0,48.5,2
2330,Gottigere,812.0,1.0,26.0,1
2332,Gottigere,1460.0,2.0,65.0,3
2333,Gottigere,1500.0,3.0,70.0,3
2334,Gottigere,1621.0,3.0,72.0,3
2335,Gottigere,812.0,1.0,26.0,1
2336,Gottigere,990.0,2.0,40.0,2
2337,Gottigere,1235.0,2.0,63.0,2
2338,Gottigere,1385.0,3.0,64.0,3
2339,Gottigere,1000.0,2.0,35.0,2
2340,Gottigere,1010.0,2.0,35.0,2
2343,Gottigere,1435.0,2.0,62.0,3
2344,Gottigere,945.0,2.0,45.0,2
2346,Gottigere,2500.0,3.0,120.0,4
2347,Gottigere,1230.0,2.0,52.0,3
2348,Gottigere,1120.0,2.0,50.0,2
2349,Gottigere,1500.0,3.0,63.0,3
2350,Gottigere,1200.0,2.0,40.0,2
2351,Gottigere,1280.0,2.0,61.0,2
2352,Gottigere,1205.0,2.0,56.58,2
2353,Gottigere,1170.0,2.0,40.0,2
2354,Gottigere,3000.0,3.0,132.0,4
2355,Gottigere,1613.0,3.0,72.0,3
2356,Gottigere,1110.0,2.0,36.25,2
2357,Gottigere,1245.0,2.0,59.0,2
2358,Gottigere,1200.0,2.0,50.0,2
2359,Green Glen Layout,1670.0,3.0,120.0,3
2360,Green Glen Layout,3250.0,4.0,230.0,4
2361,Green Glen Layout,1776.42,3.0,105.0,3
2362,Green Glen Layout,3250.0,4.0,230.0,4
2363,Green Glen Layout,940.0,2.0,56.8,2
2364,Green Glen Layout,1075.0,2.0,60.0,2
2365,Green Glen Layout,1715.0,3.0,115.0,3
2366,Green Glen Layout,1751.0,2.0,115.0,3
2367,Green Glen Layout,1750.0,3.0,130.0,3
2368,Green Glen Layout,1530.0,3.0,105.0,3
2369,Green Glen Layout,1752.0,3.0,105.0,3
2370,Green Glen Layout,1680.0,4.0,95.0,3
2371,Green Glen Layout,1728.0,3.0,125.0,3
2372,Green Glen Layout,1645.0,3.0,110.0,3
2373,Green Glen Layout,1517.0,3.0,100.0,3
2374,Green Glen Layout,3150.0,4.0,218.0,4
2376,Green Glen Layout,1750.0,3.0,120.0,3
2377,Green Glen Layout,1751.0,3.0,115.0,3
2378,Green Glen Layout,1750.0,3.0,105.0,3
2379,Green Glen Layout,1885.0,3.0,135.0,3
2380,Green Glen Layout,1715.0,3.0,120.0,3
2381,Green Glen Layout,1623.29,2.0,105.0,3
2382,Green Glen Layout,1715.0,3.0,115.0,3
2383,Green Glen Layout,1715.0,3.0,105.0,3
2384,Green Glen Layout,1600.0,3.0,105.0,3
2385,Green Glen Layout,1717.0,3.0,125.0,3
2386,Green Glen Layout,1250.0,2.0,75.0,2
2387,Green Glen Layout,1715.0,3.0,112.0,3
2388,Gubbalala,1470.0,2.0,82.0,3
2389,Gubbalala,1745.0,3.0,104.0,3
2390,Gubbalala,1745.0,3.0,115.0,3
2391,Gubbalala,1745.0,3.0,110.0,3
2392,Gubbalala,1650.0,3.0,71.0,3
2393,Gubbalala,2570.0,4.0,141.0,5
2394,Gubbalala,1205.0,2.0,70.0,2
2395,Gubbalala,1435.0,2.0,80.0,3
2396,Gubbalala,1475.0,2.0,80.0,2
2398,Gubbalala,1100.0,2.0,49.5,2
2399,Gubbalala,1060.0,2.0,46.0,2
2400,Gubbalala,2000.0,3.0,125.0,3
2402,Gunjur,1140.0,2.0,43.0,2
2403,Gunjur,1356.0,2.0,66.0,3
2404,Gunjur,1600.0,3.0,75.0,3
2405,Gunjur,2000.0,3.0,95.0,4
2406,Gunjur,1140.0,2.0,49.11,2
2407,Gunjur,1195.0,2.0,44.0,2
2408,Gunjur,1190.0,2.0,40.0,2
2409,Gunjur,1457.0,2.0,60.0,2
2410,Gunjur,1080.0,2.0,41.0,2
2413,Gunjur,1175.0,2.0,43.48,2
2414,Gunjur,1362.0,3.0,62.63,3
2415,Gunjur,1071.0,2.0,51.0,2
2416,Gunjur,1063.0,2.0,40.0,2
2417,Gunjur,1235.0,2.0,52.76,2
2418,Gunjur,1362.0,3.0,62.63,3
2419,Gunjur,1362.0,3.0,62.63,3
2420,Gunjur,1588.0,2.0,90.0,3
2421,Gunjur,1235.0,2.0,44.5,2
2422,Gunjur,1457.0,2.0,60.0,2
2423,HBR Layout,2800.0,2.0,200.0,3
2424,HBR Layout,1722.0,3.0,95.0,3
2425,HBR Layout,1200.0,4.0,120.0,4
2426,HBR Layout,1200.0,2.0,60.0,2
2427,HBR Layout,1004.0,2.0,49.0,2
2428,HBR Layout,1783.0,3.0,125.0,3
2429,HBR Layout,1656.0,3.0,90.0,3
2430,HBR Layout,1089.0,2.0,60.0,2
2431,HBR Layout,1700.0,3.0,110.0,3
2432,HBR Layout,1198.0,2.0,65.0,2
2433,HBR Layout,1200.0,4.0,115.0,4
2434,HBR Layout,1200.0,2.0,120.0,2
2435,HBR Layout,1832.0,3.0,160.0,3
2436,HRBR Layout,1374.0,2.0,95.0,2
2437,HRBR Layout,1440.0,2.0,98.0,2
2439,HRBR Layout,2800.0,3.0,250.0,3
2440,HRBR Layout,1210.0,2.0,75.0,2
2441,HRBR Layout,1265.0,2.0,78.0,2
2442,HRBR Layout,1170.0,2.0,75.0,2
2444,HRBR Layout,1900.0,3.0,90.0,4
2445,HRBR Layout,1625.0,3.0,120.0,3
2446,HRBR Layout,1301.0,2.0,120.0,2
2447,HRBR Layout,1145.0,2.0,68.5,2
2448,HRBR Layout,1300.0,2.0,90.0,2
2450,HSR Layout,1372.0,2.0,68.0,2
2452,HSR Layout,1475.0,3.0,75.0,3
2453,HSR Layout,1467.0,2.0,55.0,2
2454,HSR Layout,1140.0,2.0,46.0,2
2455,HSR Layout,1372.0,2.0,61.0,2
2456,HSR Layout,1750.0,3.0,95.0,3
2458,HSR Layout,1027.0,2.0,44.0,2
2459,HSR Layout,1650.0,3.0,110.0,3
2460,HSR Layout,1140.0,2.0,46.0,2
2461,HSR Layout,1372.0,2.0,61.0,2
2462,HSR Layout,1140.0,2.0,46.0,2
2463,HSR Layout,1185.0,2.0,60.0,2
2464,HSR Layout,1127.0,2.0,68.0,2
2465,HSR Layout,1600.0,2.0,115.0,3
2466,HSR Layout,1145.0,2.0,48.0,2
2467,HSR Layout,1009.0,2.0,56.0,2
2468,HSR Layout,1300.0,2.0,98.0,2
2470,HSR Layout,1140.0,2.0,46.0,2
2471,HSR Layout,1126.0,2.0,69.0,2
2473,HSR Layout,1140.0,2.0,46.0,2
2474,HSR Layout,1145.0,2.0,46.0,2
2475,HSR Layout,1142.0,2.0,65.0,2
2476,HSR Layout,1145.0,2.0,46.0,2
2477,HSR Layout,1844.0,3.0,95.0,3
2478,HSR Layout,1203.0,2.0,72.0,2
2479,HSR Layout,1140.0,2.0,46.0,2
2480,HSR Layout,4200.0,5.0,245.0,5
2481,HSR Layout,1140.0,2.0,46.0,2
2482,HSR Layout,1145.0,2.0,46.0,2
2483,HSR Layout,1009.0,2.0,56.0,2
2484,HSR Layout,1145.0,2.0,46.0,2
2485,HSR Layout,1100.0,2.0,44.0,2
2486,HSR Layout,1203.0,2.0,60.0,2
2487,HSR Layout,1120.0,2.0,70.0,2
2488,HSR Layout,1140.0,2.0,46.0,2
2489,HSR Layout,1289.0,2.0,70.0,2
2490,HSR Layout,1844.0,3.0,89.0,3
2491,HSR Layout,1203.0,2.0,60.0,2
2492,HSR Layout,1140.0,2.0,46.0,2
2493,Haralur Road,1240.0,2.0,70.0,2
2494,Haralur Road,1027.0,2.0,44.0,2
2497,Haralur Road,1194.0,2.0,47.0,2
2498,Haralur Road,1202.0,2.0,53.0,2
2499,Haralur Road,1056.0,2.0,61.0,2
2501,Haralur Road,1810.0,3.0,100.0,3
2502,Haralur Road,1194.0,2.0,46.0,2
2504,Haralur Road,1225.0,2.0,67.38,2
2505,Haralur Road,1243.0,2.0,46.0,2
2506,Haralur Road,1027.0,2.0,44.0,2
2507,Haralur Road,1920.0,3.0,115.0,3
2508,Haralur Road,1875.0,3.0,110.0,3
2509,Haralur Road,1194.0,2.0,47.0,2
2510,Haralur Road,1140.0,2.0,43.0,2
2511,Haralur Road,1027.0,2.0,44.0,2
2512,Haralur Road,1194.0,2.0,46.0,2
2513,Haralur Road,2017.0,3.0,125.0,3
2514,Haralur Road,1140.0,2.0,43.0,2
2515,Haralur Road,1875.0,3.0,110.0,3
2516,Haralur Road,1092.0,2.0,44.0,2
2517,Haralur Road,2475.0,4.0,130.0,3
2518,Haralur Road,1300.0,2.0,73.0,2
2519,Haralur Road,1194.0,2.0,47.0,2
2520,Haralur Road,1243.0,2.0,46.0,2
2521,Haralur Road,1850.0,3.0,110.0,3
2522,Haralur Road,1225.0,2.0,67.38,2
2523,Haralur Road,1243.0,2.0,46.0,2
2524,Haralur Road,3400.0,5.0,240.0,4
2525,Haralur Road,1464.0,2.0,56.0,2
2526,Haralur Road,1230.0,2.0,78.0,2
2527,Haralur Road,1000.0,2.0,44.0,2
2529,Haralur Road,1300.0,2.0,79.0,2
2530,Haralur Road,1444.0,2.0,80.0,3
2531,Haralur Road,1088.0,2.0,68.0,2
2532,Haralur Road,1027.0,2.0,44.0,2
2534,Haralur Road,1225.0,2.0,70.0,2
2536,Haralur Road,1194.0,2.0,46.0,2
2537,Haralur Road,1830.0,3.0,101.0,3
2538,Haralur Road,1810.0,3.0,126.0,3
2539,Haralur Road,1464.0,2.0,56.0,2
2540,Haralur Road,1520.0,2.0,96.0,3
2541,Haralur Road,1300.0,2.0,75.0,2
2542,Haralur Road,2017.0,2.0,125.0,3
2543,Haralur Road,1243.0,2.0,46.0,2
2544,Haralur Road,1027.0,2.0,44.0,2
2545,Haralur Road,2805.0,5.0,160.0,4
2546,Haralur Road,1243.0,2.0,46.0,2
2547,Haralur Road,1027.0,2.0,44.0,2
2548,Haralur Road,2017.0,3.0,105.0,3
2549,Haralur Road,1243.0,2.0,46.0,2
2550,Haralur Road,1243.0,2.0,46.0,2
2551,Haralur Road,1520.0,2.0,90.0,3
2552,Haralur Road,1300.0,2.0,60.0,2
2553,Haralur Road,1985.0,3.0,130.0,3
2554,Haralur Road,1255.0,2.0,90.0,3
2555,Haralur Road,1056.0,2.0,60.0,2
2556,Haralur Road,1140.0,2.0,42.0,2
2557,Haralur Road,1245.0,2.0,62.0,2
2558,Haralur Road,1140.0,2.0,58.0,2
2559,Haralur Road,1140.0,2.0,42.0,2
2560,Haralur Road,1027.0,2.0,43.0,2
2561,Haralur Road,1194.0,2.0,47.0,2
2562,Haralur Road,1194.0,2.0,47.0,2
2563,Haralur Road,1560.0,3.0,90.0,3
2564,Haralur Road,1520.0,2.0,85.0,3
2565,Haralur Road,1243.0,2.0,45.0,2
2566,Haralur Road,1027.0,2.0,44.0,2
2567,Haralur Road,1194.0,2.0,46.0,2
2568,Haralur Road,1650.0,3.0,100.0,3
2569,Haralur Road,1580.0,3.0,73.0,3
2570,Haralur Road,1243.0,2.0,46.0,2
2571,Haralur Road,1194.0,2.0,47.0,2
2573,Haralur Road,1520.0,2.0,96.0,3
2574,Haralur Road,1510.0,3.0,83.05,3
2575,Haralur Road,1056.0,2.0,65.0,2
2576,Haralur Road,1810.0,3.0,100.0,3
2577,Haralur Road,1243.0,2.0,46.0,2
2578,Haralur Road,575.0,1.0,38.0,1
2579,Haralur Road,1194.0,2.0,46.0,2
2580,Haralur Road,1243.0,2.0,46.0,2
2581,Haralur Road,1194.0,2.0,46.0,2
2582,Haralur Road,1140.0,2.0,43.0,2
2583,Haralur Road,1850.0,3.0,120.0,3
2584,Haralur Road,1194.0,2.0,47.0,2
2585,Haralur Road,1194.0,2.0,47.0,2
2587,Haralur Road,1243.0,2.0,46.0,2
2588,Haralur Road,1710.0,3.0,85.0,3
2589,Haralur Road,1730.0,3.0,95.0,3
2590,Haralur Road,1243.0,2.0,46.0,2
2591,Haralur Road,1243.0,2.0,46.0,2
2592,Haralur Road,1243.0,2.0,46.0,2
2593,Haralur Road,1817.0,3.0,110.0,3
2594,Haralur Road,1225.0,2.0,77.0,2
2595,Haralur Road,1285.0,2.0,78.0,2
2596,Haralur Road,1225.0,2.0,67.48,2
2597,Haralur Road,1225.0,2.0,69.84,2
2598,Haralur Road,1200.0,2.0,46.0,2
2599,Haralur Road,1315.0,2.0,85.0,2
2600,Haralur Road,1976.0,3.0,92.0,3
2601,Haralur Road,1300.0,2.0,75.0,2
2602,Haralur Road,1309.0,2.0,82.0,2
2603,Haralur Road,1027.0,1.0,44.0,2
2604,Haralur Road,1243.0,2.0,46.0,2
2605,Haralur Road,1243.0,2.0,46.0,2
2606,Haralur Road,1140.0,2.0,43.0,2
2607,Haralur Road,1300.0,2.0,75.0,2
2608,Haralur Road,1243.0,2.0,46.0,2
2609,Haralur Road,1890.0,3.0,84.0,3
2610,Haralur Road,1230.0,2.0,67.65,2
2611,Haralur Road,1194.0,2.0,46.0,2
2612,Haralur Road,1092.0,2.0,44.0,2
2614,Haralur Road,1255.0,3.0,90.0,3
2615,Haralur Road,1735.0,3.0,97.0,3
2616,Haralur Road,1810.0,3.0,97.83,3
2617,Haralur Road,1200.0,2.0,46.0,2
2618,Haralur Road,1243.0,2.0,46.0,2
2619,Haralur Road,1810.0,3.0,112.0,3
2620,Harlur,1508.0,2.0,77.0,2
2621,Harlur,1752.12,3.0,135.0,3
2624,Harlur,1709.0,3.0,150.0,3
2625,Harlur,1174.0,2.0,69.0,2
2626,Harlur,1033.0,2.0,49.0,2
2627,Harlur,1197.0,2.0,84.0,2
2628,Harlur,1757.0,3.0,132.0,3
2629,Harlur,1174.0,2.0,76.0,2
2630,Harlur,1754.0,3.0,125.0,3
2631,Harlur,1290.0,2.0,85.0,2
2632,Harlur,1752.12,3.0,116.0,3
2633,Harlur,1754.0,3.0,135.0,3
2634,Harlur,1754.0,3.0,124.0,3
2635,Harlur,1152.0,2.0,69.0,2
2636,Harlur,1290.0,2.0,87.0,2
2637,Harlur,1749.0,3.0,115.0,3
2638,Harlur,3385.0,4.0,260.0,4
2639,Harlur,2240.0,5.0,155.0,3
2640,Harlur,1758.0,3.0,133.0,3
2642,Harlur,1197.0,2.0,79.0,2
2643,Harlur,1174.0,2.0,78.0,2
2646,Harlur,1200.0,2.0,52.0,2
2647,Harlur,1197.0,2.0,79.0,2
2648,Harlur,1749.0,3.0,112.0,3
2649,Harlur,1174.0,2.0,75.0,2
2650,Harlur,1750.0,3.0,136.0,3
2651,Harlur,1620.0,3.0,110.0,3
2654,Harlur,1762.0,3.0,133.0,3
2655,Harlur,1756.0,3.0,131.0,3
2656,Harlur,1755.0,3.0,130.0,3
2657,Harlur,1864.0,3.0,140.0,3
2658,Harlur,1331.0,2.0,88.0,2
2659,Harlur,1752.12,3.0,133.0,3
2660,Harlur,1133.0,2.0,55.0,2
2661,Harlur,1756.0,3.0,128.0,3
2662,Harlur,1749.0,3.0,120.0,3
2663,Harlur,1197.0,2.0,82.0,2
2664,Harlur,1303.0,2.0,90.0,2
2665,Harlur,1754.0,3.0,132.0,3
2666,Harlur,1174.0,2.0,75.0,2
2667,Harlur,1756.0,3.0,134.0,3
2668,Harlur,1197.0,2.0,78.0,2
2669,Harlur,1290.0,2.0,89.9,2
2670,Harlur,1386.0,2.0,85.0,2
2671,Harlur,1174.0,2.0,74.0,2
2672,Harlur,1174.0,2.0,78.0,2
2674,Harlur,1755.0,3.0,115.0,3
2676,Harlur,2569.0,4.0,175.0,4
2678,Harlur,1197.0,2.0,77.0,2
2679,Harlur,1752.12,3.0,125.0,3
2680,Harlur,2569.0,5.0,180.0,4
2681,Harlur,1225.0,2.0,56.0,2
2682,Harlur,1197.0,2.0,76.0,2
2684,Harlur,1197.0,2.0,75.0,2
2685,Harlur,1755.0,3.0,117.0,3
2686,Harlur,1197.0,2.0,79.9,2
2687,Harlur,936.0,2.0,45.0,2
2688,Harlur,2990.0,4.0,225.0,4
2689,Harlur,1370.0,2.0,88.0,2
2690,Harlur,1335.0,2.0,72.76,2
2691,Hebbal,1760.0,2.0,123.0,3
2692,Hebbal,5611.5,4.0,477.0,4
2694,Hebbal,1349.0,2.0,98.2,2
2695,Hebbal,2483.0,5.0,212.0,4
2696,Hebbal,1760.0,2.0,130.0,3
2697,Hebbal,3450.0,5.0,260.0,3
2698,Hebbal,1920.0,3.0,134.0,3
2699,Hebbal,1337.0,2.0,82.0,2
2700,Hebbal,1349.0,2.0,98.0,2
2703,Hebbal,1790.0,3.0,127.0,3
2704,Hebbal,687.325,2.0,42.72,2
2706,Hebbal,1985.0,4.0,189.0,3
2707,Hebbal,2483.0,5.0,215.0,4
2708,Hebbal,1080.0,2.0,54.0,2
2709,Hebbal,812.0,2.0,55.0,2
2711,Hebbal,3067.0,4.0,230.0,4
2712,Hebbal,2526.0,2.0,250.0,3
2713,Hebbal,3067.0,4.0,230.0,4
2715,Hebbal,823.0,2.0,50.63,2
2716,Hebbal,1420.0,2.0,123.0,2
2718,Hebbal,1420.0,2.0,99.39,2
2719,Hebbal,4235.0,4.0,365.0,4
2720,Hebbal,1700.0,3.0,124.0,3
2721,Hebbal,3960.0,5.0,386.0,4
2722,Hebbal,1420.0,2.0,99.39,2
2724,Hebbal,1440.0,2.0,115.0,2
2725,Hebbal,1100.0,2.0,54.0,2
2727,Hebbal,2400.0,4.0,180.0,3
2729,Hebbal,1420.0,2.0,107.0,2
2730,Hebbal,1320.0,2.0,92.0,2
2731,Hebbal,919.0,2.0,49.0,2
2732,Hebbal,1645.0,3.0,135.0,3
2733,Hebbal,2080.0,3.0,175.0,3
2735,Hebbal,2483.0,5.0,230.0,4
2736,Hebbal,2600.0,3.0,195.0,3
2737,Hebbal,1645.0,3.0,117.0,3
2738,Hebbal,1251.0,2.0,88.73,2
2739,Hebbal,1645.0,3.0,121.0,3
2740,Hebbal,1760.0,3.0,123.0,3
2742,Hebbal,3960.0,5.0,386.0,4
2743,Hebbal,1645.0,3.0,120.0,3
2744,Hebbal,1255.0,2.0,90.0,3
2745,Hebbal,1645.0,3.0,117.0,3
2748,Hebbal,1636.0,3.0,119.0,3
2749,Hebbal,2661.0,2.0,226.5,3
2750,Hebbal,1255.0,2.0,95.0,3
2753,Hebbal,1255.0,2.0,95.0,3
2754,Hebbal,1088.0,2.0,61.45,2
2755,Hebbal,1349.0,2.0,97.8,2
2757,Hebbal,1344.0,2.0,108.0,2
2758,Hebbal,1255.0,2.0,90.0,3
2760,Hebbal,1138.0,2.0,110.0,2
2761,Hebbal,2790.0,5.0,204.0,4
2762,Hebbal,1088.0,2.0,62.0,2
2763,Hebbal,1987.0,4.0,165.0,3
